Participant;FB/RB;Sessie 1/2;Meting 1;Script
Participant 1;FB;Sessie 1;24.91;25.64
Participant 1;RB;Sessie 1;27.1;25.71
Participant 1;FB;Sessie 2;15.35;15.97
Participant 1;RB;Sessie 2;18.27;17.51
Participant 3;FB;Sessie 1;2.17;2.86
Participant 3;RB;Sessie 1;14.26;14.29
Participant 3;FB;Sessie 2;6.38;7.18
Participant 3;RB;Sessie 2;10.68;10.71
Participant 5;FB;Sessie 1;1.55;2.14
Participant 5;RB;Sessie 1;7.36;7.86
Participant 8;FB;Sessie 1;13.9;14.23
Participant 8;RB;Sessie 1;35.94;33.20
Participant 8;FB;Sessie 2;16.82;17.57
Participant 8;RB;Sessie 2;20.4;19.23
Participant 10;FB;Sessie 1;1.43;1.60
Participant 10;RB;Sessie 1;10.72;10.40
Participant 10;FB;Sessie 2;10.62;11.18
Participant 10;RB;Sessie 2;48.64;45.04
Participant 13;FB;Sessie 1;13.37;14.03
Participant 13;RB;Sessie 1;11.31;11.29
Participant 15;FB;Sessie 1;5.51;5.76
Participant 15;RB;Sessie 1;19.33;20.57
Participant 15;FB;Sessie 2;1.162;1.60
Participant 15;RB;Sessie 2;25.58;26.58
Participant 17;FB;Sessie 1;7.17;7.18
Participant 17;RB;Sessie 1;26.42;27.86
Participant 20;FB;Sessie 1;0.93;1.43
Participant 20;RB;Sessie 1;7.88;7.86
Participant 20;FB;Sessie 2;5.27;6.39
Participant 20;RB;Sessie 2;20.79;20.01
